month,day,hour,elec,gas 
1,18,8,7.63,0.192
1,18,9,7.63,0.891
1,18,10,7.02,0.288
1,18,11,5.799,0.267
1,18,12,0,0.08
1,18,13,0,0.05
1,18,14,0,0.118
1,18,15,0,0.048
1,18,16,0,0.098
1,18,17,4.883,0.256
1,18,18,6.409,1.203
1,18,19,5.799,1.096
1,18,20,5.799,0.867
1,18,21,6.104,1.125
1,18,22,5.493,0.717
1,18,23,5.189,0.883
1,18,24,4.883,0.741
1,19,1,0,0.315
1,19,2,0,0.101
1,19,3,0,0.046
1,19,4,0,0.12
1,19,5,0,0.04
1,19,6,0,0.072
1,19,7,4.883,0.149
1,19,8,7.63,0.76
1,19,9,6.409,1.085
1,19,10,6.104,0.403
1,19,11,5.189,0.12
1,19,12,0,0.123
1,19,13,0,0.04
1,19,14,0,0.09
1,19,15,0,0.206
1,19,16,0,1.08
1,19,17,7.935,0.378
1,19,18,5.799,2.051
1,19,19,6.104,0.72
1,19,20,5.493,1.112
1,19,21,5.799,0.859
1,19,22,8.241,0.882
1,19,23,6.104,0.782
1,19,24,5.188,0.816
1,20,1,5.494,0.546
1,20,2,5.493,0.192
1,20,3,5.494,0.155
1,20,4,5.493,0.115
1,20,5,5.494,0.21
1,20,6,4.273,0.102
1,20,7,4.273,0.13
1,20,8,7.935,0.424
1,20,9,6.714,1.552
1,20,10,6.715,0.376
1,20,11,5.493,0.136
1,20,12,0.305,0.251
1,20,13,1.221,0.341
1,20,14,0.305,0.307
1,20,15,0,0.211
1,20,16,0,0.122
1,20,17,4.884,0.222
1,20,18,7.63,0.744
1,20,19,7.324,1.64
1,20,20,6.41,0.896
1,20,21,7.019,0.837
1,20,22,8.546,1.299
1,20,23,7.325,0.688
1,20,24,5.798,0.725
1,21,1,4.884,0.557
1,21,2,0,0.323
1,21,3,0,0.077
1,21,4,0,0.056
1,21,5,0,0.115
1,21,6,0,0.048
1,21,7,4.883,0.157
1,21,8,7.019,0.214
1,21,9,5.799,0.149
1,21,10,5.799,0.195
1,21,11,6.714,0.528
1,21,12,0,0.05
1,21,13,0,0.131
1,21,14,0,0.92
1,21,15,2.442,0.507
1,21,16,7.325,0.904
1,21,17,7.63,0.565
1,21,18,6.714,1.504
1,21,19,7.02,1.507
1,21,20,5.799,0.797
1,21,21,5.798,0.688
1,21,22,5.799,0.787
1,21,23,5.494,0.858
1,21,24,5.493,0.656
1,22,1,4.884,0.456
1,22,2,0,0.046
1,22,3,0,0.128
1,22,4,0,0.048
1,22,5,0,0.066
1,22,6,0,0.123
1,22,7,4.578,0.091
1,22,8,7.019,0.202
1,22,9,5.799,0.222
1,22,10,7.02,0.573
1,22,11,7.019,0.355
1,22,12,0.305,0.36
1,22,13,0,0.498
1,22,14,1.221,0.582
1,22,15,0,0.461
1,22,16,0,0.077
1,22,17,4.883,0.336
1,22,18,7.936,0.55
1,22,19,5.798,1.008
1,22,20,6.715,1.152
1,22,21,7.935,0.797
1,22,22,5.799,0.712
1,22,23,5.188,0.763
1,22,24,5.494,0.568
1,23,1,4.578,0.264
1,23,2,0,0.04
1,23,3,0,0.08
1,23,4,0,0.098
1,23,5,0,0.04
1,23,6,0,0.115
1,23,7,4.578,0.125
1,23,8,8.851,0.75
1,23,9,7.019,1.109
1,23,10,6.409,0.595
1,23,11,7.02,0.384
1,23,12,0,0.2
1,23,13,0,0.17
1,23,14,0,0.227
1,23,15,5.494,0.168
1,23,16,6.714,0.195
1,23,17,8.851,0.202
1,23,18,7.325,0.459
1,23,19,6.409,1.605
1,23,20,6.409,0.942
1,23,21,5.799,1.12
1,23,22,7.935,0.965
1,23,23,5.188,0.669
1,23,24,5.799,0.203
1,24,1,4.578,0.224
1,24,2,0,0.048
1,24,3,0,0.107
1,24,4,0,0.066
1,24,5,0,0.064
1,24,6,0,0.115
1,24,7,4.883,0.099
1,24,8,7.63,0.29
1,24,9,6.41,0.88
1,24,10,7.019,0.219
1,24,11,5.494,0.211
1,24,12,0,0.088
1,24,13,0,0.304
1,24,14,0,0.093
1,24,15,0,0.048
1,24,16,0,0.136
1,24,17,4.883,0.816
1,24,18,7.63,1.016
1,24,19,7.02,1.336
1,24,20,6.104,0.987
1,24,21,6.104,1.256
1,24,22,7.324,0.901
1,24,23,5.494,0.739
1,24,24,5.494,0.821
1,25,1,4.578,0.496
1,25,2,0,0.128
1,25,3,0,0.053
1,25,4,0,0.072
1,25,5,0,0.104
1,25,6,0,0.048
1,25,7,4.883,0.16
1,25,8,8.545,0.387
1,25,9,7.02,0.749
1,25,10,7.02,0.534
1,25,11,6.104,0.205
1,25,12,0,0.075
1,25,13,0,0.106
1,25,14,0,0.04
1,25,15,0,0.107
1,25,16,6.714,0.347
1,25,17,6.409,0.506
1,25,18,6.104,1.702
1,25,19,6.715,1.317
1,25,20,6.104,0.939
1,25,21,7.324,1.202
1,25,22,5.799,0.915
1,25,23,5.494,0.848
1,25,24,5.493,0.725
1,26,1,4.884,0.168
1,26,2,0,0.099
1,26,3,0,0.064
1,26,4,0,0.075
1,26,5,0,0.08
1,26,6,0,0.064
1,26,7,4.883,0.152
1,26,8,8.851,0.794
1,26,9,6.714,1.04
1,26,10,6.409,0.443
1,26,11,5.494,0.184
1,26,12,0,0.059
1,26,13,0,0.09
1,26,14,0,0.072
1,26,15,0,0.23
1,26,16,0,1.125
1,26,17,5.188,0.371
1,26,18,8.546,1.144
1,26,19,7.019,0.64
1,26,20,6.104,0.856
1,26,21,5.799,0.992
1,26,22,7.935,1.109
1,26,23,6.104,0.691
1,26,24,5.494,0.496
1,27,1,4.578,0.154
1,27,2,0,0.112
1,27,3,0,0.048
1,27,4,0,0.115
1,27,5,0,0.04
1,27,6,0,0.115
1,27,7,4.883,0.096
1,27,8,8.241,0.282
1,27,9,6.714,0.803
1,27,10,7.325,0.363
1,27,11,6.714,0.232
1,27,12,0,0.098
1,27,13,0,0.376
1,27,14,0,0.128
1,27,15,0,0.134
1,27,16,0,0.189
1,27,17,4.883,0.731
1,27,18,7.02,0.917
